PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
133278,PGC133278,7085.5,7002.846627502588,34.63,0.56,84.3335,21.7487
908309,PGC908309,5465.3,5449.835906018709,34.63,0.62,84.3335,24.0789
950160,PGC950160,6832.0,6839.691080406169,34.63,0.59,84.3335,22.9138
3083152,PGC3083152,8500.8,8551.394734589809,34.63,0.53,84.3335,20.5836
3093635,PGC3093635,9405.2,9287.009395083356,34.63,0.54,84.3335,20.972
2786,PGC002786,5770.2,5667.795455739111,34.6301,0.248514,84.3388,9.65214
72392,IC1509,7340.8,7250.6430917252765,34.6304,0.247976,84.3474,9.63224
8195,NGC0852,6415.6,6128.003684921552,34.6309,0.483348,84.3676,18.7794
35679,UGC06539,6268.7,6425.3908981110735,34.631,0.263814,84.3742,10.2507
90669,PGC090669,6903.0,6696.96724260959,34.6314,0.0260342,84.389,1.01175
3147,UGC00544,4907.0,4861.821452029881,34.6317,0.242849,84.3992,9.43887
11606,ESO300-009,6074.4,5801.026857084308,34.632,0.274251,84.4101,10.6608
39855,PGC039855,5437.6,5442.693959818015,34.6321,0.305888,84.4165,11.8915
71819,UGC12687,6154.6,6207.338733424449,34.6321,0.261998,84.4165,10.1852
90701,PGC090701,4843.0,4876.521856309191,34.6329,0.0276887,84.4445,1.07676
8297,NGC0837,5579.5,5379.58877638389,34.6342,0.252551,84.495,9.82709
10416,NGC1080,7845.4,7705.654583010008,34.6347,0.898467,84.516,34.9693
36097,ESO571-012,6622.6,6548.357988094243,34.6349,0.291165,84.5225,11.3333
7427,ESO297-037,5545.1,5294.535878024515,34.635,0.320679,84.5298,12.4832
47243,PGC047243,5985.8,6007.089165012506,34.6352,0.241336,84.5359,9.39528
31059,NGC3270,6250.9,6338.587636425703,34.6353,0.316181,84.5383,12.3094
213027,PGC213027,4896.8,4950.503081303273,34.6356,0.256221,84.5498,9.97638
35137,UGC06437,5334.8,5428.119109119626,34.636,0.250062,84.5675,9.73862
68784,PGC068784,6130.2,6251.173450515982,34.6367,0.292009,84.5947,11.3759
10671,IC1858,6067.4,5821.51040932466,34.6368,0.31698,84.5963,12.3489
68658,NGC7264,4276.3,4471.647180976125,34.6368,0.417343,84.5976,16.2591
29572,ESO374-039,6157.7,5953.003826338961,34.6373,0.258773,84.6171,10.0838
1371,NGC0083,6227.0,6296.504511559213,34.6376,0.280288,84.6293,10.9237
12017,IC0307,7788.7,7659.340192528131,34.64,0.48,84.7227,18.7278
12914,PGC012914,6101.3,5945.55842839965,34.64,0.4,84.7227,15.6065
14349,PGC014349,5954.8,5924.258904044059,34.64,0.4,84.7227,15.6065
14390,PGC014390,6031.3,6016.390095302166,34.64,0.4,84.7227,15.6065
19181,ESO365-025,6204.0,5922.58387503256,34.64,0.48,84.7227,18.7278
23784,ESO562-007,5740.0,5541.685160798865,34.64,0.4,84.7227,15.6065
25300,ESO496-025,4677.0,4480.3444277081235,34.64,0.54,84.7227,21.0688
38052,PGC038052,6206.3,6254.366692424596,34.64,0.46,84.7227,17.9475
45658,NGC5000,5594.0,5788.7196544215285,34.64,0.4,84.7227,15.6065
46953,PGC046953,6805.7,6818.674933535308,34.64,0.6,84.7227,23.4098
48393,NGC5267,5918.0,6159.371430929902,34.64,0.4,84.7227,15.6065
49924,PGC049924,7404.6,7498.829872205965,34.64,0.48,84.7227,18.7278
50112,NGC5438,6943.1,7086.530747751578,34.64,0.25,84.7227,9.75407
50316,PGC050316,5697.3,5950.933355652322,34.64,0.46,84.7227,17.9475
55461,PGC055461,4462.9,4679.348765301552,34.64,0.46,84.7227,17.9475
56195,PGC056195,7305.9,7546.005333216028,34.64,0.2,84.7227,7.80325
63697,PGC063697,5825.3,5962.231496056231,34.64,0.54,84.7227,21.0688
63950,ESO461-029,5974.0,5924.518362103466,34.64,0.51,84.7227,19.8983
66129,ESO286-055,8946.9,8808.252575730148,34.64,0.49,84.7227,19.118
66634,PGC066634,5009.3,5134.0619389678795,34.64,0.46,84.7227,17.9475
66807,NGC7069,9156.4,9219.469827978868,34.64,0.47,84.7227,18.3376
68770,NGC7274,6124.0,6317.423225795632,34.64,0.4,84.7227,15.6065
69310,PGC069310,5275.0,5371.7506920009,34.64,0.46,84.7227,17.9475
90607,PGC090607,4320.3,4310.238228488295,34.64,0.00881917,84.7227,0.344091
3085373,PGC3085373,5288.6,5073.171120737387,34.64,0.62,84.7227,24.1901
3679328,2MASXJ04265125-1011517,9211.0,9017.570564723386,34.64,0.48,84.7227,18.7278
3252,ESO541-001,6370.8,6223.31353829175,34.6408,0.287389,84.7521,11.2167
60896,NGC6478,6776.0,7086.12273183791,34.641,0.286054,84.76,11.1657
49384,ESO510-007,5530.0,5484.050650577927,34.6416,0.3179,84.7842,12.4123
52190,UGC09401,5627.5,5836.015751783928,34.6419,0.372746,84.7953,14.5556
13410,UGC02801,6013.9,6095.028691467943,34.6425,0.312552,84.82,12.2086
9745,PGC009745,8209.2,8129.122269964336,34.6428,0.252527,84.833,9.86547
20955,NGC2370,5500.2,5494.095901542604,34.6428,0.285865,84.834,11.168
4619,UGC00824,6155.6,6146.820380092861,34.6455,0.279966,84.937,10.9509
791,UGC00105,8053.8,8159.160667290318,34.6462,0.258003,84.9631,10.0949
69433,NGC7344,7433.3,7439.941905608481,34.6465,0.340382,84.9754,13.3201
45580,UGC08229,5993.3,6184.900182085395,34.6474,0.358712,85.0134,14.0436
4443,UGC00784,4906.3,4826.31801192107,34.6475,0.22093,85.0154,8.64965
61970,UGC11262,5558.7,5852.662837226356,34.6478,0.238409,85.0274,9.33526
16603,ESO422-023,6387.4,6117.138256159312,34.6489,0.337757,85.0693,13.2319
3828,ESO195-029,7535.0,7276.675057275646,34.649,0.247723,85.0749,9.7054
69807,UGC12206,6771.4,6941.1511400298605,34.649,0.492568,85.0733,19.2977
9762,NGC0989,7505.8,7319.024937182941,34.65,0.47,85.1138,18.4223
13218,NGC1361,5254.2,5089.928861253962,34.65,0.46,85.1138,18.0303
16689,ESO305-005,8680.0,8390.302550285982,34.65,0.57,85.1138,22.3419
36428,PGC036428,6089.7,6156.397842420119,34.65,0.2,85.1138,7.83927
38556,PGC038556,6893.7,7005.776609198687,34.65,0.46,85.1138,18.0303
46683,PGC046683,5752.3,5975.6047431311545,34.65,0.46,85.1138,18.0303
